Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
