Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Dummy SKF India Ltd.,Capital Goods,DUMMYSKFIN,EQ,DUM640A01023
Dummy Tata Motors Ltd.,Capital Goods,DUMMYTATAM,EQ,DUM155A01022
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KSB Ltd.,Capital Goods,KSB,EQ,INE999A01023
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012
SKF India Ltd.,Capital Goods,SKFINDIA,BE,INE640A01023
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027
