Company Name,Industry,Symbol,Series,ISIN Code
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013
Swan Corp Ltd.,Chemicals,SWANCORP,EQ,INE665A01038
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
