Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
