Company Name,Industry,Symbol,Series,ISIN Code
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019
Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ,INE133A01011
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dummy Valor Estate Ltd.,Consumer Services,DUMMYDBRLT,BE,DUM879I01012
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027
Valor Estate Ltd.,Consumer Services,DBREALTY,EQ,INE879I01012
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
Ventive Hospitality Ltd.,Consumer Services,VENTIVE,EQ,INE781S01027
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
