Company Name,Industry,Symbol,Series,ISIN Code
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
