Company Name,Industry,Symbol,Series,ISIN Code
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
