Company Name,Industry,Symbol,Series,ISIN Code
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
CESC Ltd.,Power,CESC,EQ,INE486A01021
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Nava Ltd.,Power,NAVA,EQ,INE725A01030
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Reliance Infrastructure Ltd.,Power,RELINFRA,BE,INE036A01016
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
