Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
MMTC Ltd.,Services,MMTC,EQ,INE123F01029
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
